  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 HOLL    47     0     24   20.2    2.4    2.3   191   11.8    0.5    3.4    0.00   963.84   170   20.3    1.7   16.6   19.5   18.6   13.0   12.2    1.42    1.55    1.44
 HOOK    48     0     24   19.9    8.1    8.1   207    7.9    1.0   10.1    0.00   913.74   190   20.0    6.3   10.4   13.9   12.0    9.0    8.1    1.65    1.49    1.55
 HUGO    49     0     29   17.3    3.1    3.1    50   10.2    0.6    4.3    0.00  1002.45   102   17.8    1.9   14.7   17.6   15.4   13.8   -998    1.37    1.42    -998
 IDAB    50     0     32   17.4    2.6    2.5     3    6.1    0.4    3.4    0.00  1010.03   105   18.8    1.8   18.7   19.9   16.6   16.1   -998    1.45    1.36    -998
 INOL   120     0     41   15.2    1.8    1.8   114    6.8    0.5    2.8    0.00  1000.41   109   16.3    0.9   14.1   17.3   14.1   11.9   10.8    1.44    1.38    1.44
 JAYX    51     0     35   14.0    1.7    1.6    28    9.3    0.6    3.0    0.00   987.12    96   14.4    1.2   11.9   -999   14.4   11.7   -998    1.30    1.42    -998
 KENT    52     0     18   21.1    9.1    9.1   203    5.8    0.9   11.5    0.00   868.30   225   21.0    6.9    9.2   12.3   11.5    7.9   -998    1.63    1.77    -998
 KETC    53     0     23   19.9    0.9    0.8    54   12.8    0.3    1.5    0.00   982.24   144   20.1    0.2   16.7   20.4   17.8   14.6   13.3    1.40    1.47    1.52
 KIN2   133     0     35   18.0    3.4    3.4   133    4.8    0.4    4.2    0.00   983.94   144   18.2    2.4   14.1   20.3   13.6   12.5   11.7    1.57    1.52    1.32
 LAHO    55     0     41   17.0    4.3    4.2   150    4.7    0.6    5.7    0.00   974.73   144   17.1    3.1   13.0   15.8   14.6   10.7   10.2    1.50    1.40    1.35
 LANE    56     0     28   18.5    1.8    1.7    49   20.3    0.3    2.7    0.00  1001.52   119   18.9    1.5   15.6   17.1   15.7   14.2   13.3    1.48    1.47    1.49
 MADI    57     0     26   19.8    1.6    1.5    56   13.8    0.4    3.1    0.00   995.10   136   20.2    1.1   15.5   18.9   16.2   -998   -998    1.53    -998    -998
 MANG    58     0     27   19.6    3.9    3.9   173    7.3    0.6    5.2    0.00   968.40   169   19.6    2.7   17.7   21.1   18.8   14.4   -998    -999    -999    -998
 MARE    59     0     23   18.4    1.1    1.1    42   13.4    0.3    1.7    0.00   983.33   139   18.5    0.4   12.3   17.1   13.2   11.8   11.3    1.49    1.46    1.50
 MAYR    61     0     20   20.3    7.3    7.3   227    7.6    1.1    9.3    0.00   955.06   165   20.2    4.6   13.1   14.0   14.3   10.8    9.7    1.52    1.57    1.44
 MCAL    62     0     28   17.4    1.5    1.4    58   18.8    0.7    3.0    0.00   995.92   117   17.5    0.4   17.6   17.8   18.2   15.7   -998    1.46    1.45    -998
 MEDF    63     0     41   17.4    3.0    3.0   155    8.5    0.6    4.5    0.00   982.09   145   17.4    2.5   10.9   16.2   11.9   -998   -998    1.44    -998    -998
 MEDI    64     0     24   19.9    1.3    1.3   146    9.2    0.3    2.1    0.00   965.11   162   20.0    1.0   17.3   21.6   19.4   14.7   -998    1.53    1.50    -998
 MIAM    65     0     40   14.3    1.6    1.6    53    3.2    0.3    2.2    0.00   993.60    96   14.7    1.0   13.1   15.4   13.1   11.6   10.7    1.55    1.44    1.32
 MINC    66     0     29   18.3    2.3    2.3   134    6.7    0.2    2.8    0.00   971.86   147   18.4    1.7   17.0   20.5   18.1   13.4   -998    1.78    1.38    -998
 MRSH   125     0     29   18.0    1.6    1.6   122    9.0    0.3    2.1    0.00   985.05   141   18.4    1.0   14.3   17.1   15.3   12.4   -998    1.36    1.34    -998
 MTHE    67     0     28   16.0    1.4    1.2   315   29.6    0.4    2.5    0.00   989.55    33   16.5    1.2   15.2   18.1   16.0   -998   -998    1.42    -998    -998
 NEWK    68     0   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -996   -996    -996    -996    -996
 NEWP   123     0     26   19.0    1.3    1.3    46   13.0    0.4    2.3    2.03   989.07   101   19.7    0.7   -999   17.4   13.8   -998   -998    1.46    -998    -998
 NOWA    70     0     38   15.9    3.1    3.0   167    6.8    0.5    4.7    0.00   997.84   106   16.4    2.5   13.4   15.9   14.5   11.5   10.8    1.47    1.48    1.47
 NRMN   121     0     22   18.8    0.1    0.1   268   13.8    0.2    0.7    0.00   980.42   141   20.3    0.0   14.0   16.9   14.6   12.4   11.8    1.61    1.45    1.41
 OILT    71     0     26   17.9    0.9    0.9   330    8.2    0.2    1.2    0.00   991.96   118   18.5    0.3   17.0   19.0   18.1   14.3   12.1    1.50    1.46    1.30
 OKCE   130     0     23   19.2    1.1    1.1    98    9.4    0.3    1.6    0.00   980.29   149   19.2    0.3   16.1   20.9   19.0   14.1   12.4    1.56    1.60    1.58
 OKEM    72     0     27   18.1    0.6    0.6    36   14.4    0.1    1.0    0.00   991.53   121   18.2    0.0   15.6   17.2   16.8   13.6   -998    1.47    1.46    -998
 OKMU    73     0     36   16.4    2.6    2.5    71    6.8    0.3    3.2    0.00   998.53   125   17.5    1.6   14.4   17.0   15.6   11.9   -998    1.55    1.58    -998
 PAUL    74     0     24   19.4    1.1    1.1   210   10.3    0.2    1.5    0.00   988.24   140   20.0    0.0   16.8   18.1   17.0   14.4   13.4    1.48    1.45    1.53
 PAWN    75     0   -999   17.8    1.3    1.2   280   22.7    0.3    2.1    0.00   989.02   139   18.0    0.8   16.1   16.0   16.4   -996   11.5    1.47    -996    1.51
 PERK    76     0     32   18.5    1.1    1.0   130   22.4    0.5    2.2    0.00   987.55   136   18.9    0.4   15.2   19.1   16.6   12.9   11.9    1.47    1.50    1.39
 PORT   118     0     32   16.7    1.2    1.1   108   13.7    0.1    1.4    0.00  1000.01   115   17.2    0.5   12.4   16.9   12.8   11.9   11.4    1.50    1.37    1.55
 PRYO    77     0     38   15.7    1.3    1.3   135    7.2    0.3    1.7    0.00   998.86    98   16.0    0.7   11.7   16.2   13.1   11.2   -998    1.53    1.40    -998
 PUTN    78     0     29   18.4    5.4    5.3   173    6.7    0.9    7.3    0.00   952.68   165   18.4    4.2   13.6   15.3   18.1   12.2   10.5    1.40    1.46    1.51
