STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
WATO,Watonga,OK,35.84,-98.53,2021,3,28,23,35,53,36,52, , ,S,15,19,1020.61,68,40, 
WAUR,Waurika,OK,34.17,-97.99,2021,3,28,23,35,54,35,48, , ,SSE,7,11,1023.24,72,40, 
WEAT,Weatherford,OK,35.51,-98.78,2021,3,28,23,35,51,37,57, , ,S,17,20,1020.71,66,37, 
WEBR,Webbers Falls,OK,35.49,-95.12,2021,3,28,23,35,44,41,90, , , , , ,1024.13,64,42, 
WEST,Westville,OK,36.01,-94.64,2021,3,28,23,35,47,27,46,45, ,SE,4,5,1024.08,60,40, 
WILB,Wilburton,OK,34.90,-95.35,2021,3,28,23,35,43,38,82, , ,E,2,3,1024.41,65,43, 
WIST,Wister,OK,34.98,-94.69,2021,3,28,23,35,36,35,94, , ,N,1,2,1024.46,66,36, 
WOOD,Woodward,OK,36.42,-99.42,2021,3,28,23,35,56,32,41, , ,S,22,31,1018.74,71,35, 
WYNO,Wynona,OK,36.52,-96.34,2021,3,28,23,35,47,35,62,43, ,SSE,7,9,1021.82,66,39, 
YUKO,Yukon,OK,35.56,-97.76,2021,3,28,23,35,55,31,41, , ,SSE,12,16,1021.74,68,40, 
